@relation ProteinFoldsPFRES

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEC numeric
@attribute adssCEE numeric
@attribute adssCEH numeric
@attribute adssCHC numeric
@attribute adssCHE numeric
@attribute adssCHH numeric
@attribute adssECC numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssEEH numeric
@attribute adssEHC numeric
@attribute adssEHE numeric
@attribute adssEHH numeric
@attribute adssHCC numeric
@attribute adssHCE numeric
@attribute adssHCH numeric
@attribute adssHEC numeric
@attribute adssHEE numeric
@attribute adssHEH numeric
@attribute adssHHC numeric
@attribute adssHHE numeric
@attribute adssHHH numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
7,13,2,10,0,6,9,6,1,13,18,7,10,8,48,3,12,1,7,15,0.6833,0.2833,0.0333,8,7,0,0,1,0,5,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,h
4,13,9,33,2,10,10,7,7,17,21,8,7,14,18,8,5,0,9,14,0.6474,0.3526,0,7,7,0,0,1,0,4,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173,h
11,20,6,9,0,4,9,5,6,5,13,9,15,16,38,6,15,7,14,15,0.6732,0.3007,0.0261,7,4,0,0,1,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,h
15,3,12,3,13,0,11,15,2,18,16,9,14,22,27,18,7,7,2,17,0.5402,0.1222,0.3376,10,4,8,1,0,2,0,0,0,1,4,1,0,0,4,0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,311,p
8,9,9,17,0,9,12,20,6,8,10,15,12,18,17,6,7,0,9,9,0.5197,0.2697,0.2105,4,4,3,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,152,q
2,6,5,12,1,19,4,15,11,6,5,20,3,3,28,8,7,13,0,10,0.7314,0.08,0.1886,6,2,2,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,175,z
3,3,25,0,0,3,0,14,5,11,32,6,28,3,14,7,17,0,3,9,0.4865,0.1622,0.3514,4,3,4,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,148,r
27,6,8,7,7,13,8,4,13,11,17,3,23,9,12,15,23,4,13,9,0.383,0.1596,0.4574,5,4,6,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,188,s
9,5,16,7,0,8,4,5,0,14,17,15,16,18,8,16,14,8,9,19,0.3659,0.2056,0.4286,7,9,9,0,0,0,0,0,2,1,2,0,0,1,2,0,0,0,2,4,0,1,1,1,3,0,3,0,0,0,287,x
14,15,18,1,3,8,6,14,3,20,10,17,4,5,5,15,12,1,0,26,0.3788,0.5303,0.0909,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,l
7,16,11,4,14,12,0,15,1,5,5,12,6,16,10,11,9,19,32,14,0.5354,0.1582,0.3064,8,5,6,1,0,1,1,0,0,1,3,0,0,1,3,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,297,p
20,11,0,6,1,9,5,20,14,19,11,2,18,4,17,13,12,0,5,26,0.6143,0.2242,0.1614,7,6,2,0,1,0,2,1,1,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,223,q
11,18,5,12,15,8,13,19,2,9,12,8,19,13,13,5,22,5,3,10,0.5077,0.0867,0.4056,13,1,10,0,0,2,1,0,0,8,0,1,0,0,1,0,0,0,0,0,0,2,1,5,0,0,0,1,0,0,323,p
21,9,4,5,0,15,12,16,5,12,14,21,16,6,7,7,10,1,13,12,0.3993,0.106,0.4947,8,1,10,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,283,p
14,3,4,7,1,20,15,7,11,24,16,14,5,0,13,11,20,0,2,17,0.2207,0,0.7793,3,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,145,a
18,12,18,21,9,8,22,2,15,8,9,12,5,14,15,13,4,6,30,3,0.459,0.541,0,2,7,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122,g
4,18,16,26,0,15,25,2,16,17,13,12,5,18,10,8,6,5,17,8,0.3566,0.1103,0.5331,7,3,10,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,1,0,0,0,1,3,1,0,1,2,0,1,272,t
9,10,11,10,0,12,6,7,4,15,22,10,6,12,18,11,16,0,7,15,0.6226,0.0964,0.281,10,3,8,0,0,2,0,0,0,3,3,1,1,0,2,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,363,p
5,8,25,16,22,4,2,12,9,6,3,3,0,6,28,20,21,15,8,1,0.6273,0.3727,0,8,6,0,0,2,0,4,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,h
11,3,6,31,0,4,10,7,10,15,15,2,6,9,12,11,23,15,16,11,0.5944,0.3611,0.0444,6,8,1,0,1,0,2,1,0,1,0,0,0,2,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,180,h
3,0,19,24,4,9,9,1,6,9,13,4,5,12,29,11,23,0,10,18,0.6465,0.2605,0.093,7,8,1,0,1,0,1,3,0,1,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,h
2,11,6,17,6,9,18,3,6,20,12,17,6,7,27,3,11,0,2,15,0.4961,0.5039,0,3,8,0,0,0,0,0,3,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,129,g
6,34,3,0,1,18,7,27,6,16,7,10,0,10,9,5,9,3,2,27,0.3563,0.4253,0.2184,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,87,z
14,6,6,2,10,5,3,28,16,17,8,5,15,3,0,9,11,0,13,20,0.5524,0.089,0.3586,13,1,10,0,0,3,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,382,s
11,2,17,14,4,8,8,6,6,16,19,8,7,11,39,13,12,1,7,15,0.4961,0.5039,0,6,8,0,0,0,0,2,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,g
13,22,6,12,0,5,2,38,1,17,14,9,3,8,8,2,10,0,3,23,0.4352,0.1495,0.4153,9,4,9,0,0,1,1,0,1,2,1,2,1,0,2,0,0,0,1,0,0,0,1,3,2,0,0,1,1,0,301,s
10,52,10,11,0,7,2,5,11,0,5,7,13,16,19,12,12,6,7,0,0.5,0.0848,0.4152,9,3,11,0,0,1,1,0,0,5,1,1,0,0,2,0,0,0,0,0,1,1,1,3,1,0,1,0,1,1,330,p
7,13,2,3,0,7,10,16,8,7,15,10,6,0,27,17,7,17,0,13,0.4792,0.5208,0,3,5,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,g
11,9,19,16,0,20,5,19,16,12,0,15,3,8,3,19,7,24,15,15,0.5,0.1862,0.3138,7,4,4,0,0,0,2,0,1,1,0,1,0,1,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,188,p
2,3,12,17,12,17,6,20,3,13,8,3,1,15,6,8,25,29,29,10,0.4823,0.4735,0.0442,7,11,1,0,2,0,1,4,0,0,0,0,1,2,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,226,j
19,12,0,9,48,8,3,15,0,19,7,17,8,12,0,8,16,0,1,17,0.6197,0.2019,0.1784,11,4,2,3,2,1,1,1,0,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,213,z
17,19,0,5,11,9,21,9,4,6,13,16,3,0,11,15,18,16,0,8,0.3125,0,0.6875,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,c
13,10,13,6,5,8,12,24,0,9,10,18,4,25,3,10,7,10,8,10,0.5625,0.1513,0.2862,9,6,6,0,1,0,1,0,0,2,4,0,0,0,5,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,304,p
35,1,12,5,24,7,0,25,11,5,0,2,13,7,17,15,10,4,7,5,0.6173,0,0.3827,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,b
21,18,4,18,0,14,17,18,2,11,14,18,6,4,15,3,3,12,7,12,0.5169,0,0.4831,3,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,89,b
23,1,6,20,11,3,7,11,4,14,12,7,2,7,13,8,14,0,11,20,0.4035,0.1579,0.4386,4,3,6,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,171,s
7,32,4,18,2,9,6,0,13,4,17,16,13,5,17,22,3,3,17,6,0.6486,0.1486,0.2027,6,3,2,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,148,z
4,15,16,17,42,15,12,18,10,7,7,11,9,4,17,9,6,0,5,2,0.6211,0.3579,0.0211,6,10,0,0,1,0,0,4,0,0,0,0,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,190,j
5,7,10,3,12,18,13,12,14,9,5,9,9,26,18,17,8,2,17,14,0.5023,0.4055,0.0922,7,8,2,0,1,0,1,2,1,1,0,0,0,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,217,j
15,12,7,20,5,18,11,5,4,12,8,11,11,7,16,2,15,2,5,12,0.6376,0.0604,0.302,6,1,3,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,149,b
12,24,4,15,0,12,24,21,11,8,8,19,15,17,12,0,7,10,29,7,0.5818,0.0182,0.4,4,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,110,b
15,2,1,11,0,11,16,3,1,13,12,6,3,16,23,6,14,4,11,17,0.7664,0,0.2336,4,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,137,b
10,10,17,14,0,4,15,0,7,23,26,20,24,2,8,10,3,0,9,18,0.4595,0.2703,0.2703,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,74,z
16,17,10,19,7,22,21,4,2,6,12,10,7,16,14,7,7,3,15,10,0.6271,0.3729,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,k
8,8,10,16,5,7,8,16,18,6,12,23,10,18,19,7,1,22,17,17,0.5888,0.1776,0.2336,7,3,2,1,1,0,1,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107,k
11,5,4,11,3,7,12,18,10,14,14,11,18,11,4,14,8,15,12,16,0.5408,0.1178,0.3414,12,5,8,0,0,3,1,0,0,3,4,0,0,0,5,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,331,p
