@relation ProteinFoldsPFRESFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssEHE numeric
@attribute adssHCE numeric
@attribute adssHCH numeric
@attribute adssHEC numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
0.3455,0.4955,0.6045,0.6045,0.4091,0.4818,0.6773,0.5727,0.3909,0.6636,0.5091,0.5636,0.5045,0.5136,0.3227,0.5091,0.4318,0.1909,0.5273,0.5955,0.55,0.2045,0.2455,5,3,1,0,0,2,1,0,0,2,0,1,2.2,z
0.5568,0.5684,0.3086,0.6125,0.2367,0.3318,0.6056,0.8051,0.3573,0.652,0.6636,0.4362,0.3828,0.355,0.4362,0.2761,0.5012,0.1647,0.4269,0.6937,0.5476,0.1694,0.2831,7,9,0,2,2,3,0,0,0,1,3,1,4.31,t
0.9861,0.3472,0.4861,0.5694,0.3333,0.5278,0.8472,0.375,0,0.5556,0.3611,0.9306,0.3611,0.2639,0.4028,0.5556,0.9861,0,0.25,0.9722,0.4444,0.2778,0.2778,3,2,0,0,0,2,1,0,0,0,0,0,0.72,z
0.3678,0.3388,0.7934,0.5537,0.0124,0.4793,0.5372,0.8554,0.2521,0.8017,0.4421,0.5785,0.1901,0.5661,0.5537,0.4298,0.343,0.0455,0.4132,0.5909,0.6281,0.2686,0.1033,6,2,0,0,2,0,0,0,0,1,0,0,2.42,n
0.2676,0.7042,0.3521,0.5211,0.0282,0.3521,0.6338,0.4789,0.3944,0.9014,0.6197,0.7183,0.662,0.3239,0.3944,0.2817,0.4225,0.1408,0.4366,0.7746,0.3944,0.6056,0,6,0,0,0,1,0,1,3,0,0,0,0,0.71,l
0.5891,0.2558,0.4651,0.5969,0.2016,0.3643,0.6822,0.6977,0.5969,0.5814,0.3953,0.6202,0.9302,0.6744,0.5736,0.3488,0.7752,0.2868,0.3101,0.6977,0.5349,0.3798,0.0853,7,1,1,0,3,0,1,0,0,1,0,0,1.29,h
0.5666,0.5308,0.3956,0.6342,0.2087,0.3459,0.6481,0.7416,0.3161,0.8171,0.4791,0.664,0.4811,0.3797,0.3757,0.4394,0.4811,0.1113,0.4573,0.7495,0.5686,0.165,0.2664,6,11,0,2,0,2,0,0,1,5,2,1,5.03,p
0.55,0.5864,0.2773,0.7727,0.1773,0.55,0.6455,0.6273,0.2864,0.7,0.5955,0.7682,0.4636,0.3182,0.5864,0.3864,0.3773,0.1227,0.2773,0.6318,0.4864,0.0682,0.4455,2,9,0,2,0,1,0,0,0,1,4,0,2.2,t
0.9812,0.7313,0.5437,0.6625,0.3438,0.5125,0.5688,0.6562,0.0938,0.7875,0.6562,0.3937,0.5125,0.3625,0.3813,0.6562,0.4312,0.15,0.7062,0.675,0.2313,0,0.7688,0,6,0,1,0,0,0,0,0,0,3,0,1.6,a
0.7563,0.5546,0.3361,0.5798,0.4538,0.4706,0.7227,0.7815,0.4538,0.6303,0.5126,0.437,0.4874,0.2689,0.6387,0.2773,0.4454,0.2605,0.2689,0.521,0.6218,0.0168,0.3613,0,4,0,1,0,0,0,0,0,0,2,0,1.19,y
0.6552,0.3966,0.6034,0.8103,0.5,0.2414,0.4655,0.6552,0.5862,0.931,0.4655,0.6379,0.5345,0.2759,0.4138,0.4828,0.2241,0.8103,0.5,0.931,0.5,0.5,0,5,0,2,0,1,0,1,1,0,0,0,0,0.58,p
0.86,0.42,0.47,0.7,0.24,0.6,0.59,0.92,0.4,0.44,0.51,0.38,0.51,0.26,0.91,0.35,0.53,0.33,0.45,0.48,0.55,0,0.45,0,3,0,0,0,0,0,0,0,0,2,0,1,b
0.6282,0.8333,0.4231,0.5,0.1154,0.859,0.8077,0.4872,0.2821,0.641,0.7308,0.6667,0.4744,0.2436,0.4872,0.6026,0.641,0,0.2821,0.6795,0.4231,0.0897,0.4872,0,3,0,0,0,0,0,0,0,0,2,0,0.78,c
0.2642,0.434,0.7547,0.8679,1.3396,0.4528,0.6038,0.6038,0.9623,0.2453,0.1509,0.283,0.0566,0.3774,0.434,0.4717,0.3962,0.1321,0.6226,0.3585,0.7358,0.2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,-
0.4506,0.4074,0.463,0.2469,0.3827,0.6852,0.4074,0.5617,0.8272,0.6728,0.537,0.5988,0.3951,0.5741,0.6049,0.4198,0.6049,0.6975,0.4506,0.4691,0.4753,0.1667,0.358,3,4,0,0,2,0,0,0,0,0,3,0,1.62,v
0.4088,0.5693,0.3577,0.5182,0.2482,0.7226,0.8175,0.4672,0.4745,0.7956,0.5182,0.7372,0.365,0.3942,0.4964,0.5766,0.4672,0.3212,0.2847,1.0073,0.562,0.3796,0.0584,6,1,1,0,2,1,1,1,0,1,0,0,1.37,l
0.7817,0.3099,0.3169,0.507,0.169,0.2606,0.2887,0.4577,0.7676,0.3873,0.6549,0.5423,0.4296,0.5211,0.3803,0.5915,0.5,0.1127,0.3944,0.5282,0.3099,0,0.6901,0,6,0,1,0,0,0,0,0,0,3,0,1.42,a
1.3893,0.3664,0.2595,0.7786,0.1832,0.7634,0.6794,0.5115,0.313,0.3359,0.3817,0.8855,0.6107,0.542,0.4351,0.3282,0.3282,0.3969,0.2672,0.313,0.3053,0,0.6947,0,4,0,1,0,0,0,0,0,0,1,0,1.31,d
0.55,0.3,0.4909,0.5636,0.35,0.3409,0.2864,0.4864,0.45,0.4636,0.4273,0.2955,0.4,0.6773,0.7727,0.6045,0.8091,0.2818,0.7636,0.4955,0.6,0.3364,0.0636,9,1,2,0,4,1,2,0,0,1,0,0,2.2,i
0.5,1.1618,0.4559,0.7059,0.4412,0.3971,0.6471,0.6176,0.9118,0.5735,0.5147,0.5147,0.3676,0.6324,0.3824,0.1765,0.3382,0.6765,0.75,0.7647,0.4118,0.5147,0.0735,5,0,1,0,1,0,1,1,0,0,0,0,0.68,v
0.9861,0.4375,0.5764,0.5972,0.25,0.4097,0.3681,0.5625,0.1597,0.6875,0.6875,0.4931,0.4583,0.3889,0.6875,0.25,0.3333,0.1042,0.2292,0.7431,0.375,0.1736,0.4514,4,4,0,0,0,0,0,0,1,2,0,0,1.44,s
0.3086,0.5062,0.5494,0.7901,0.3889,0.6852,0.8395,0.463,0.5309,0.6296,0.6049,0.7778,0.7963,0.7716,0.6049,0.4074,0.6296,0.3395,0.6358,0.6914,0.4753,0.4259,0.0988,7,1,1,0,0,1,1,5,0,0,0,0,1.62,o
0.3333,0.477,0.477,0.4885,0.3851,0.8793,0.7011,0.2701,0.7126,0.4253,0.8793,0.5575,0.6034,0.4368,0.6897,0.546,0.4943,0.3506,0.3506,0.3851,0.3563,0,0.6437,0,5,0,1,0,0,0,0,0,0,3,0,1.74,e
0.338,0.5741,0.6204,0.7593,0.1574,0.5972,0.5787,0.4074,0.5185,0.463,0.4583,0.3102,0.3611,0.7269,0.8241,0.5602,0.3889,0.7917,0.7269,0.5046,0.6991,0.2407,0.0602,5,0,1,0,2,0,1,0,0,0,0,0,2.16,g
0.5913,0.7043,0.5217,0.8261,0.3043,0.7391,0.7217,0.4435,0.6087,0.5913,0.6957,0.287,0.1043,0.3739,0.5043,0.4,0.713,0.4,0.5217,0.8348,0.3739,0.6261,0,7,0,2,0,2,0,1,2,0,0,0,0,1.15,g
0.3857,0.6587,0.5666,0.6724,0.2969,0.6587,0.6416,0.6314,0.7201,0.4778,0.5768,0.4437,0.4198,0.5768,0.7133,0.4812,0.6485,0.6724,0.6246,0.6212,0.5495,0.4027,0.0478,14,1,2,0,5,1,2,4,0,1,0,0,2.93,p
0.2759,0.5961,0.5616,0.7192,0.1872,0.5025,0.5517,0.5813,0.5961,0.5074,0.4335,0.3547,0.2266,0.67,0.7291,0.3842,0.5961,0.7143,0.7438,0.6305,0.67,0.33,0,7,0,1,0,2,0,1,1,0,0,0,0,2.03,g
0.462,0.703,0.6106,0.7558,0.3663,0.4983,0.7327,0.5281,0.7492,0.6832,0.5347,0.5512,0.6799,0.7921,0.5512,0.3267,0.4125,0.6403,0.7855,0.5215,0.5116,0.1452,0.3432,3,7,0,0,0,3,0,0,0,0,2,2,3.03,p
0.4844,0.7812,0.3281,0.375,0.1719,0.7812,0.7344,0.7031,0.5312,0.8281,0.8438,0.7188,0.5,0.3438,0.2969,0.5781,0.2969,0.375,0.4219,0.5469,0.4062,0.1094,0.4844,1,3,0,1,0,0,0,0,0,0,1,0,0.64,c
0.6796,0.5414,0.5083,0.5304,0.2486,0.6961,0.6188,0.6409,0.4088,0.8011,1.0994,0.326,0.4199,0.3757,0.4972,0.4088,0.2652,0.547,0.3702,0.674,0.4144,0.1934,0.3923,3,4,1,1,0,1,1,0,0,1,0,0,1.81,k
0.771,0.5267,0.229,0.6794,0.0534,0.7634,0.8092,0.4046,0.1756,0.5191,0.7786,0.916,0.5191,0.5649,0.3053,0.3969,0.4198,0.0992,0.4275,0.5496,0.2595,0,0.7405,0,5,0,1,0,0,0,0,0,0,2,0,1.31,t
0.4831,0.5339,0.1864,0.6186,0.0508,0.7373,0.839,0.4661,0.2542,0.7203,0.5847,0.678,0.4576,0.4915,0.339,0.3051,0.2627,0.0763,0.4831,0.6186,0.2966,0.0169,0.6864,0,5,0,1,0,0,0,0,0,0,3,0,1.18,t
0.3838,0.3838,0.6595,0.4595,0.373,0.4865,0.5189,0.4757,0.3297,0.5135,0.4757,0.3784,0.5189,0.6703,0.5568,0.6811,0.5351,0.6595,0.4919,0.5892,0.4541,0.4757,0.0703,9,1,3,0,3,0,3,0,1,0,0,0,1.85,i
0.4439,0.4064,0.5267,0.4599,0.4519,0.4358,0.4171,0.615,0.3155,0.5963,0.6123,0.4118,0.5615,0.639,0.5321,0.5936,0.5455,0.3235,0.4947,0.5535,0.5348,0.3342,0.131,15,4,2,0,7,2,1,0,0,0,0,3,3.74,i
0.6715,0.509,0.3032,0.8303,0.0614,0.4116,0.343,0.7653,0.5921,0.5848,0.5343,0.3971,0.3971,0.6498,0.491,0.4224,0.5054,0.3538,0.4729,0.6173,0.4513,0.1625,0.3863,7,8,0,1,0,4,1,1,0,3,2,1,2.77,w
0.4148,0.4891,0.6638,0.5459,0.6288,0.607,0.4061,0.7467,0.5546,0.5895,0.5153,0.3843,0.3362,0.2664,0.6419,0.6376,0.4498,0.441,0.5633,0.6812,0.6288,0.31,0.0611,8,1,1,0,3,1,1,1,0,0,0,0,2.29,n
0.5528,0.3821,0.2195,0.439,0.3089,0.5772,1.0488,0.6179,0.2358,0.6423,0.6341,0.7073,0.7398,0.5528,0.439,0.3496,0.4472,0.2927,0.5691,0.561,0.4878,0.0488,0.4634,1,4,0,1,0,0,0,0,0,0,1,1,1.23,d
0.4531,0.5041,0.6735,0.7122,0.2245,0.3612,0.4959,0.6265,0.5367,0.6347,0.4939,0.6061,0.3653,0.7857,0.5388,0.5163,0.4592,0.4388,0.9061,0.4816,0.5918,0.0735,0.3347,4,12,0,0,0,3,0,0,0,2,7,2,4.9,p
0.4722,0.0556,0.3333,0.1389,1.4444,1.1667,0.0278,1.1111,0.2222,0.1667,0.2222,0.1667,0,0.1944,0.5833,0.6944,1.0278,1.0556,1.0833,0.3333,0.8056,0.1944,0,1,0,0,0,0,0,0,0,0,0,0,0,0.36,-
1.1446,0.3012,0.494,0.7229,0.4699,0.3494,0.4337,0.9759,0.3976,0.4096,0.4096,0.5904,0.6627,0.2771,0.5181,0.4819,0.3253,0.253,0.3855,0.4819,0.4699,0,0.5301,0,4,0,1,0,0,0,0,0,0,2,0,0.83,b
0.3876,0.5955,0.5562,0.5562,0.2697,0.8708,0.691,0.6573,0.6573,0.5056,0.6348,0.382,0.4101,0.7978,0.427,0.6517,0.5,0.7416,0.736,0.4157,0.3708,0.2753,0.3539,6,3,2,1,2,2,2,0,0,1,0,0,1.78,g
0.1313,0.4646,0.7576,0.7576,0.0808,0.5859,0.6061,0.4646,0.4343,0.6566,0.5556,0.7374,0.2828,0.4646,0.4242,0.6061,0.7071,0.2727,0.5758,0.5859,0.5051,0.4949,0,5,0,2,0,1,0,1,1,0,0,0,0,0.99,g
0.46,0.4,0.905,1.0275,0.2,0.4975,0.39,0.605,0.4025,0.575,0.5025,0.37,0.58,0.74,0.5625,0.495,0.57,0.74,0.93,0.4725,0.6525,0.065,0.2825,1,8,0,0,0,1,0,0,0,0,4,1,4,g
0.4175,0.2913,0.8544,0.5146,0.3301,0.4854,0.5049,0.6796,0.3301,0.534,0.3592,0.3786,0.1359,0.466,0.6408,0.7087,0.9806,0.8155,0.5825,0.8932,0.5243,0.4757,0,5,0,1,0,1,0,2,0,0,0,0,0,1.03,p
0.4461,0.5627,0.6443,0.895,0.277,0.4257,0.5889,0.551,0.586,0.6501,0.4752,0.449,0.4519,0.8017,0.516,0.3586,0.3178,1.1545,0.8601,0.4956,0.551,0.0991,0.3499,4,8,0,1,0,2,0,0,0,0,3,3,3.43,p
0.3333,0.5758,0.6465,0.5758,0.1313,0.4848,0.6364,0.4343,0.5354,0.5758,0.3434,0.2525,0.2323,0.3636,1,0.7071,0.8182,0.5758,0.4343,0.798,0.5657,0.4343,0,6,0,2,0,3,0,2,0,0,0,0,0,0.99,g
1.378,0.4409,0.3071,0.7638,0.189,0.8346,0.7402,0.4567,0.3307,0.3386,0.3543,0.9528,0.6457,0.5433,0.4882,0.3307,0.3228,0.3543,0.252,0.3307,0.2756,0,0.7244,0,4,0,1,0,0,0,0,0,0,2,0,1.27,d
0.5736,0.9535,0.3411,0.6279,0.2093,0.4729,0.876,0.5116,0.4496,0.814,0.9535,0.5349,0.6589,0.5891,0.4729,0.4884,0.4419,0.1783,0.4341,0.6047,0.3411,0.3488,0.3101,4,2,2,0,1,0,1,0,0,0,0,0,1.29,c
0.3302,0.434,0.4811,0.434,0.066,0.7075,0.6509,0.4245,0.3774,0.3774,0.7642,0.7358,0.3962,0.5189,0.5377,0.7075,0.5377,0.3396,0.2547,0.5094,0.5094,0.4906,0,8,0,2,0,4,0,2,0,0,0,0,0,1.06,g
0.1972,0.4085,0.493,0.4366,0.3099,0.9437,0.7746,0.3239,0.0986,0.4225,0.8028,0.8873,0.6901,0.0423,0.5915,0.5211,0.4366,0.493,0.0423,0.6197,0.4366,0.5634,0,6,0,1,0,1,0,0,3,0,0,0,0,0.71,g
0.3684,0.7193,0.5439,0.8947,0.1754,0.6667,0.8246,0.6491,0.2982,0.614,0.386,0.6667,0.193,0.7018,0.7193,0.2456,0.3509,0.5088,0.7018,0.6667,0.614,0.386,0,2,0,0,0,1,0,0,0,0,0,0,0,0.57,k
0.1484,0.7484,0.6323,0.7935,0.471,0.5613,0.6452,0.4,0.6,0.729,0.6839,0.6968,0.7677,0.7871,0.5806,0.3226,0.3097,0.4452,0.6839,0.6,0.529,0.3742,0.0968,6,1,3,0,2,0,2,0,0,0,0,0,1.55,l
0.918,0.369,0.656,0.8975,0.2756,0.3736,0.3964,0.7585,0.508,0.3736,0.5581,0.4123,0.5148,0.6036,0.6333,0.4875,0.5376,0.713,1.1253,0.4533,0.5421,0.0273,0.4305,1,12,0,3,0,1,0,0,0,1,6,0,4.39,g
0.492,0.6578,0.4118,0.4599,0.4225,0.8075,0.5508,0.385,0.7059,0.3583,0.8021,0.3797,0.4866,0.5134,0.8128,0.5455,0.4439,0.3904,0.4118,0.369,0.3797,0,0.6203,0,4,0,1,0,0,0,0,0,0,2,0,1.87,e
0.719,0.8218,0.4441,0.6435,0.3474,0.2659,0.4079,0.9758,0.5982,0.3958,0.5045,0.2598,0.5076,0.4653,0.7764,0.3384,0.5801,0.8127,0.574,0.6707,0.6888,0.1752,0.136,4,3,0,0,0,1,1,1,0,0,0,0,3.31,q
0.3365,0.4615,0.7548,0.5721,0.2067,0.5769,0.2885,0.6346,0.3894,0.4231,0.3317,0.4423,0.4183,0.75,0.4519,0.6298,0.5913,0.8798,0.9231,0.4279,0.5337,0.4327,0.0337,11,1,1,0,7,1,1,1,0,0,0,0,2.08,j
0.5546,0.4034,0.6555,0.7815,0.2269,0.2773,0.2689,0.7899,0.6387,0.4202,0.563,0.2101,0.3361,0.5966,0.8403,0.479,0.3866,0.3613,0.395,0.2941,0.6891,0.0252,0.2857,0,3,0,1,0,0,0,0,0,0,1,0,1.19,f
0.4637,0.2179,0.6201,0.6257,0,0.3017,0.514,0.257,0.2626,0.4749,0.4637,0.2346,0.3017,0.581,0.6257,0.648,0.4413,0.4413,0.5196,0.4078,0.7374,0.1676,0.095,5,1,1,0,2,1,1,0,0,1,0,0,1.79,f
1.3798,0.3721,0.2946,0.8527,0.186,0.6744,0.6977,0.5194,0.2636,0.3178,0.3721,0.8682,0.5969,0.5271,0.4574,0.3333,0.3101,0.3876,0.2636,0.2946,0.2636,0,0.7364,0,4,0,1,0,0,0,0,0,0,1,0,1.29,d
0.3071,0.4331,0.4488,0.5118,0.3228,0.5906,0.6929,0.1575,0.315,0.4488,0.5354,0.6063,0.3937,0.4646,0.7874,0.4488,0.6142,0.252,0.3465,0.3701,0.5039,0.0315,0.4646,0,4,0,0,0,0,0,0,0,0,2,0,1.27,e
0.5888,0.1869,0.6916,0.6262,0.243,0.5234,0.4019,0.6262,0.3364,0.514,0.3458,0.5514,0.243,0.2804,0.4953,0.6729,0.785,0.6449,0.6168,0.785,0.4393,0.5327,0.028,7,0,2,0,1,0,2,3,0,0,0,0,1.07,g
0.6394,0.2986,0.6563,0.8,0.1606,0.4535,0.3493,0.8648,0.3718,0.4197,0.4451,0.4592,0.2986,0.5634,0.6958,0.4085,0.5099,0.6169,0.7042,0.4507,0.6254,0.0958,0.2789,4,6,0,0,1,2,0,0,0,0,2,1,3.55,p
0.2202,0.6606,0.3119,0.4495,0.3028,0.6422,0.7523,0.367,0.4954,0.3761,0.4037,0.5413,0.3119,0.4495,1.0826,0.6239,0.5872,0.8807,0.578,0.5413,0.6789,0.3211,0,5,0,0,0,4,0,0,0,0,0,0,0,1.09,g
1.1875,0.5,0.4792,0.75,0.0833,0.625,0.9375,0.25,0.0417,0.6875,0.8542,0.8125,0.5417,0.0833,0.2917,0.8125,0.3125,0,0.25,0.6667,0.2917,0,0.7083,0,3,0,0,0,0,0,0,0,0,1,0,0.48,l
0.4129,0.2581,0.3613,0.6452,0.1677,0.329,0.4129,0.6387,0.3742,0.4774,0.2387,0.4194,0.4903,0.5484,0.6581,0.3419,0.5935,0.3032,0.6516,0.6387,0.6065,0.3548,0.0387,6,0,2,0,2,0,2,0,0,0,0,0,1.55,h
0.6895,0.5316,0.3053,0.3632,0.1368,0.4421,0.4947,0.3421,0.2368,0.5421,0.5158,0.5316,0.4053,0.2947,0.4316,0.6526,0.5789,0.2368,0.3,0.6421,0.5105,0.2316,0.2579,5,4,1,1,1,2,1,0,0,2,0,0,1.9,i
1.1393,0.6803,0.4754,0.6434,0.3361,0.3975,0.4918,0.8115,0.3074,0.7623,0.6762,0.4057,0.541,0.5041,0.4467,0.5164,0.5082,0.3238,0.2295,0.8443,0.4467,0.1393,0.4139,4,7,0,0,0,2,0,0,1,0,2,2,2.44,s
