@relation ProteinFoldsDicots

@attribute pcvA             NUMERIC
@attribute pcvR             NUMERIC
@attribute pcvN             NUMERIC
@attribute pcvD             NUMERIC
@attribute pcvC             NUMERIC
@attribute pcvQ             NUMERIC
@attribute pcvE             NUMERIC
@attribute pcvG             NUMERIC
@attribute pcvH             NUMERIC
@attribute pcvI             NUMERIC
@attribute pcvL             NUMERIC
@attribute pcvK             NUMERIC
@attribute pcvM             NUMERIC
@attribute pcvF             NUMERIC
@attribute pcvP             NUMERIC
@attribute pcvS             NUMERIC
@attribute pcvT             NUMERIC
@attribute pcvW             NUMERIC
@attribute pcvY             NUMERIC
@attribute pcvV             NUMERIC
@attribute sscC             NUMERIC
@attribute sscE             NUMERIC
@attribute sscH             NUMERIC
@attribute dssC             NUMERIC
@attribute dssE             NUMERIC
@attribute dssH             NUMERIC
@attribute adssCCC          NUMERIC
@attribute adssCCE          NUMERIC
@attribute adssCCH          NUMERIC
@attribute adssCEC          NUMERIC
@attribute adssCEE          NUMERIC
@attribute adssCEH          NUMERIC
@attribute adssCHC          NUMERIC
@attribute adssCHE          NUMERIC
@attribute adssCHH          NUMERIC
@attribute adssECC          NUMERIC
@attribute adssECE          NUMERIC
@attribute adssECH          NUMERIC
@attribute adssEEC          NUMERIC
@attribute adssEEE          NUMERIC
@attribute adssEEH          NUMERIC
@attribute adssEHC          NUMERIC
@attribute adssEHE          NUMERIC
@attribute adssEHH          NUMERIC
@attribute adssHCC          NUMERIC
@attribute adssHCE          NUMERIC
@attribute adssHCH          NUMERIC
@attribute adssHEC          NUMERIC
@attribute adssHEE          NUMERIC
@attribute adssHEH          NUMERIC
@attribute adssHHC          NUMERIC
@attribute adssHHE          NUMERIC
@attribute adssHHH          NUMERIC
@attribute phyAthaliana     NUMERIC
@attribute phyCpapaya       NUMERIC
@attribute phyCsativus      NUMERIC
@attribute phyGmax          NUMERIC
@attribute phyLjaponicus    NUMERIC
@attribute phyMesculenta    NUMERIC
@attribute phyMtrunculata   NUMERIC
@attribute phyMguttatus     NUMERIC
@attribute phyPtrichocarpa  NUMERIC
@attribute phyPpersica      NUMERIC
@attribute phyRcommunis     NUMERIC
@attribute phySlycoparsicum NUMERIC
@attribute length           NUMERIC
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
7.0000,13.0000,2.0000,10.0000,0.0000,6.0000,9.0000,6.0000,1.0000,13.0000,18.0000,7.0000,10.0000,8.0000,48.0000,3.0000,12.0000,1.0000,7.0000,15.0000,0.6833,0.2833,0.0333,8,7,0,0,1,0,5,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1.80,h
4.0000,13.0000,9.0000,33.0000,2.0000,10.0000,10.0000,7.0000,7.0000,17.0000,21.0000,8.0000,7.0000,14.0000,18.0000,8.0000,5.0000,0.0000,9.0000,14.0000,0.6474,0.3526,0.0000,7,7,0,0,1,0,4,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1.73,h
11.0000,20.0000,6.0000,9.0000,0.0000,4.0000,9.0000,5.0000,6.0000,5.0000,13.0000,9.0000,15.0000,16.0000,38.0000,6.0000,15.0000,7.0000,14.0000,15.0000,0.6732,0.3007,0.0261,7,4,0,0,1,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1.53,h
15.0000,3.0000,12.0000,3.0000,13.0000,0.0000,11.0000,15.0000,2.0000,18.0000,16.0000,9.0000,14.0000,22.0000,27.0000,18.0000,7.0000,7.0000,2.0000,17.0000,0.5402,0.1222,0.3376,10,4,8,1,0,2,0,0,0,1,4,1,0,0,4,0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.11,p
8.0000,9.0000,9.0000,17.0000,0.0000,9.0000,12.0000,20.0000,6.0000,8.0000,10.0000,15.0000,12.0000,18.0000,17.0000,6.0000,7.0000,0.0000,9.0000,9.0000,0.5197,0.2697,0.2105,4,4,3,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,q
2.0000,6.0000,5.0000,12.0000,1.0000,19.0000,4.0000,15.0000,11.0000,6.0000,5.0000,20.0000,3.0000,3.0000,28.0000,8.0000,7.0000,13.0000,0.0000,10.0000,0.7314,0.0800,0.1886,6,2,2,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,z
3.0000,3.0000,25.0000,0.0000,0.0000,3.0000,0.0000,14.0000,5.0000,11.0000,32.0000,6.0000,28.0000,3.0000,14.0000,7.0000,17.0000,0.0000,3.0000,9.0000,0.4865,0.1622,0.3514,4,3,4,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,r
27.0000,6.0000,8.0000,7.0000,7.0000,13.0000,8.0000,4.0000,13.0000,11.0000,17.0000,3.0000,23.0000,9.0000,12.0000,15.0000,23.0000,4.0000,13.0000,9.0000,0.3830,0.1596,0.4574,5,4,6,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.88,s
9.0000,5.0000,16.0000,7.0000,0.0000,8.0000,4.0000,5.0000,0.0000,14.0000,17.0000,15.0000,16.0000,18.0000,8.0000,16.0000,14.0000,8.0000,9.0000,19.0000,0.3659,0.2056,0.4286,7,9,9,0,0,0,0,0,2,1,2,0,0,1,2,0,0,0,2,4,0,1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.87,x
14.0000,15.0000,18.0000,1.0000,3.0000,8.0000,6.0000,14.0000,3.0000,20.0000,10.0000,17.0000,4.0000,5.0000,5.0000,15.0000,12.0000,1.0000,0.0000,26.0000,0.3788,0.5303,0.0909,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,l
7.0000,16.0000,11.0000,4.0000,14.0000,12.0000,0.0000,15.0000,1.0000,5.0000,5.0000,12.0000,6.0000,16.0000,10.0000,11.0000,9.0000,19.0000,32.0000,14.0000,0.5354,0.1582,0.3064,8,5,6,1,0,1,1,0,0,1,3,0,0,1,3,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2.97,p
20.0000,11.0000,0.0000,6.0000,1.0000,9.0000,5.0000,20.0000,14.0000,19.0000,11.0000,2.0000,18.0000,4.0000,17.0000,13.0000,12.0000,0.0000,5.0000,26.0000,0.6143,0.2242,0.1614,7,6,2,0,1,0,2,1,1,0,1,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,q
11.0000,18.0000,5.0000,12.0000,15.0000,8.0000,13.0000,19.0000,2.0000,9.0000,12.0000,8.0000,19.0000,13.0000,13.0000,5.0000,22.0000,5.0000,3.0000,10.0000,0.5077,0.0867,0.4056,13,1,10,0,0,2,1,0,0,8,0,1,0,0,1,0,0,0,0,0,0,2,1,5,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.23,p
21.0000,9.0000,4.0000,5.0000,0.0000,15.0000,12.0000,16.0000,5.0000,12.0000,14.0000,21.0000,16.0000,6.0000,7.0000,7.0000,10.0000,1.0000,13.0000,12.0000,0.3993,0.1060,0.4947,8,1,10,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2.83,p
14.0000,3.0000,4.0000,7.0000,1.0000,20.0000,15.0000,7.0000,11.0000,24.0000,16.0000,14.0000,5.0000,0.0000,13.0000,11.0000,20.0000,0.0000,2.0000,17.0000,0.2207,0.0000,0.7793,3,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,a
18.0000,12.0000,18.0000,21.0000,9.0000,8.0000,22.0000,2.0000,15.0000,8.0000,9.0000,12.0000,5.0000,14.0000,15.0000,13.0000,4.0000,6.0000,30.0000,3.0000,0.4590,0.5410,0.0000,2,7,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,g
4.0000,18.0000,16.0000,26.0000,0.0000,15.0000,25.0000,2.0000,16.0000,17.0000,13.0000,12.0000,5.0000,18.0000,10.0000,8.0000,6.0000,5.0000,17.0000,8.0000,0.3566,0.1103,0.5331,7,3,10,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,1,0,0,0,1,3,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.72,t
9.0000,10.0000,11.0000,10.0000,0.0000,12.0000,6.0000,7.0000,4.0000,15.0000,22.0000,10.0000,6.0000,12.0000,18.0000,11.0000,16.0000,0.0000,7.0000,15.0000,0.6226,0.0964,0.2810,10,3,8,0,0,2,0,0,0,3,3,1,1,0,2,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.63,p
5.0000,8.0000,25.0000,16.0000,22.0000,4.0000,2.0000,12.0000,9.0000,6.0000,3.0000,3.0000,0.0000,6.0000,28.0000,20.0000,21.0000,15.0000,8.0000,1.0000,0.6273,0.3727,0.0000,8,6,0,0,2,0,4,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.61,h
11.0000,3.0000,6.0000,31.0000,0.0000,4.0000,10.0000,7.0000,10.0000,15.0000,15.0000,2.0000,6.0000,9.0000,12.0000,11.0000,23.0000,15.0000,16.0000,11.0000,0.5944,0.3611,0.0444,6,8,1,0,1,0,2,1,0,1,0,0,0,2,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.80,h
3.0000,0.0000,19.0000,24.0000,4.0000,9.0000,9.0000,1.0000,6.0000,9.0000,13.0000,4.0000,5.0000,12.0000,29.0000,11.0000,23.0000,0.0000,10.0000,18.0000,0.6465,0.2605,0.0930,7,8,1,0,1,0,1,3,0,1,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2.15,h
2.0000,11.0000,6.0000,17.0000,6.0000,9.0000,18.0000,3.0000,6.0000,20.0000,12.0000,17.0000,6.0000,7.0000,27.0000,3.0000,11.0000,0.0000,2.0000,15.0000,0.4961,0.5039,0.0000,3,8,0,0,0,0,0,3,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,g
6.0000,34.0000,3.0000,0.0000,1.0000,18.0000,7.0000,27.0000,6.0000,16.0000,7.0000,10.0000,0.0000,10.0000,9.0000,5.0000,9.0000,3.0000,2.0000,27.0000,0.3563,0.4253,0.2184,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.87,z
14.0000,6.0000,6.0000,2.0000,10.0000,5.0000,3.0000,28.0000,16.0000,17.0000,8.0000,5.0000,15.0000,3.0000,0.0000,9.0000,11.0000,0.0000,13.0000,20.0000,0.5524,0.0890,0.3586,13,1,10,0,0,3,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.82,s
11.0000,2.0000,17.0000,14.0000,4.0000,8.0000,8.0000,6.0000,6.0000,16.0000,19.0000,8.0000,7.0000,11.0000,39.0000,13.0000,12.0000,1.0000,7.0000,15.0000,0.4961,0.5039,0.0000,6,8,0,0,0,0,2,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.27,g
13.0000,22.0000,6.0000,12.0000,0.0000,5.0000,2.0000,38.0000,1.0000,17.0000,14.0000,9.0000,3.0000,8.0000,8.0000,2.0000,10.0000,0.0000,3.0000,23.0000,0.4352,0.1495,0.4153,9,4,9,0,0,1,1,0,1,2,1,2,1,0,2,0,0,0,1,0,0,0,1,3,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3.01,s
10.0000,52.0000,10.0000,11.0000,0.0000,7.0000,2.0000,5.0000,11.0000,0.0000,5.0000,7.0000,13.0000,16.0000,19.0000,12.0000,12.0000,6.0000,7.0000,0.0000,0.5000,0.0848,0.4152,9,3,11,0,0,1,1,0,0,5,1,1,0,0,2,0,0,0,0,0,1,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.30,p
7.0000,13.0000,2.0000,3.0000,0.0000,7.0000,10.0000,16.0000,8.0000,7.0000,15.0000,10.0000,6.0000,0.0000,27.0000,17.0000,7.0000,17.0000,0.0000,13.0000,0.4792,0.5208,0.0000,3,5,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,g
11.0000,9.0000,19.0000,16.0000,0.0000,20.0000,5.0000,19.0000,16.0000,12.0000,0.0000,15.0000,3.0000,8.0000,3.0000,19.0000,7.0000,24.0000,15.0000,15.0000,0.5000,0.1862,0.3138,7,4,4,0,0,0,2,0,1,1,0,1,0,1,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,p
2.0000,3.0000,12.0000,17.0000,12.0000,17.0000,6.0000,20.0000,3.0000,13.0000,8.0000,3.0000,1.0000,15.0000,6.0000,8.0000,25.0000,29.0000,29.0000,10.0000,0.4823,0.4735,0.0442,7,11,1,0,2,0,1,4,0,0,0,0,1,2,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,j
19.0000,12.0000,0.0000,9.0000,48.0000,8.0000,3.0000,15.0000,0.0000,19.0000,7.0000,17.0000,8.0000,12.0000,0.0000,8.0000,16.0000,0.0000,1.0000,17.0000,0.6197,0.2019,0.1784,11,4,2,3,2,1,1,1,0,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.13,z
17.0000,19.0000,0.0000,5.0000,11.0000,9.0000,21.0000,9.0000,4.0000,6.0000,13.0000,16.0000,3.0000,0.0000,11.0000,15.0000,18.0000,16.0000,0.0000,8.0000,0.3125,0.0000,0.6875,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.64,c
13.0000,10.0000,13.0000,6.0000,5.0000,8.0000,12.0000,24.0000,0.0000,9.0000,10.0000,18.0000,4.0000,25.0000,3.0000,10.0000,7.0000,10.0000,8.0000,10.0000,0.5625,0.1513,0.2862,9,6,6,0,1,0,1,0,0,2,4,0,0,0,5,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,p
35.0000,1.0000,12.0000,5.0000,24.0000,7.0000,0.0000,25.0000,11.0000,5.0000,0.0000,2.0000,13.0000,7.0000,17.0000,15.0000,10.0000,4.0000,7.0000,5.0000,0.6173,0.0000,0.3827,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,b
21.0000,18.0000,4.0000,18.0000,0.0000,14.0000,17.0000,18.0000,2.0000,11.0000,14.0000,18.0000,6.0000,4.0000,15.0000,3.0000,3.0000,12.0000,7.0000,12.0000,0.5169,0.0000,0.4831,3,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.89,b
23.0000,1.0000,6.0000,20.0000,11.0000,3.0000,7.0000,11.0000,4.0000,14.0000,12.0000,7.0000,2.0000,7.0000,13.0000,8.0000,14.0000,0.0000,11.0000,20.0000,0.4035,0.1579,0.4386,4,3,6,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1.71,s
7.0000,32.0000,4.0000,18.0000,2.0000,9.0000,6.0000,0.0000,13.0000,4.0000,17.0000,16.0000,13.0000,5.0000,17.0000,22.0000,3.0000,3.0000,17.0000,6.0000,0.6486,0.1486,0.2027,6,3,2,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.48,z
4.0000,15.0000,16.0000,17.0000,42.0000,15.0000,12.0000,18.0000,10.0000,7.0000,7.0000,11.0000,9.0000,4.0000,17.0000,9.0000,6.0000,0.0000,5.0000,2.0000,0.6211,0.3579,0.0211,6,10,0,0,1,0,0,4,0,0,0,0,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90,j
5.0000,7.0000,10.0000,3.0000,12.0000,18.0000,13.0000,12.0000,14.0000,9.0000,5.0000,9.0000,9.0000,26.0000,18.0000,17.0000,8.0000,2.0000,17.0000,14.0000,0.5023,0.4055,0.0922,7,8,2,0,1,0,1,2,1,1,0,0,0,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,j
15.0000,12.0000,7.0000,20.0000,5.0000,18.0000,11.0000,5.0000,4.0000,12.0000,8.0000,11.0000,11.0000,7.0000,16.0000,2.0000,15.0000,2.0000,5.0000,12.0000,0.6376,0.0604,0.3020,6,1,3,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,b
12.0000,24.0000,4.0000,15.0000,0.0000,12.0000,24.0000,21.0000,11.0000,8.0000,8.0000,19.0000,15.0000,17.0000,12.0000,0.0000,7.0000,10.0000,29.0000,7.0000,0.5818,0.0182,0.4000,4,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10,b
15.0000,2.0000,1.0000,11.0000,0.0000,11.0000,16.0000,3.0000,1.0000,13.0000,12.0000,6.0000,3.0000,16.0000,23.0000,6.0000,14.0000,4.0000,11.0000,17.0000,0.7664,0.0000,0.2336,4,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,b
