@relation ProteinFoldsDicotsFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssHCH numeric
@attribute phyCsativus numeric
@attribute phyGmax numeric
@attribute phyLjaponicus numeric
@attribute phyPpersica numeric
@attribute phyRcommunis numeric
@attribute phySlycoparsicum numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
9,13,20,16,19,13,17,5,22,8,9,8,11,11,0,15,2,3,20,12,0.55,0.2045,0.2455,9,5,3,1,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,2.2,z
3,5,10,8,0,10,7,34,0,18,6,20,1,0,0,3,6,13,0,31,0.5476,0.1694,0.2831,17,7,9,0,2,1,0,2,2,3,0,0,3,1,1,1,1,1,1,4.31,t
21,7,6,5,24,10,9,9,0,12,5,10,18,4,8,14,30,0,0,12,0.4444,0.2778,0.2778,3,3,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0.72,z
4,4,12,9,0,10,24,5,9,12,3,23,0,6,5,10,15,7,14,18,0.6281,0.2686,0.1033,10,6,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.42,n
12,2,9,17,0,9,25,7,0,17,11,10,16,0,12,5,11,0,0,19,0.3944,0.6056,0,1,6,0,0,0,0,0,0,1,0,1,3,0,1,1,1,1,0,1,0.71,l
13,12,9,24,7,9,19,6,0,16,8,9,19,13,8,13,24,0,5,12,0.5349,0.3798,0.0853,6,7,1,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1.29,h
10,4,5,13,0,3,14,12,5,13,17,9,11,19,13,6,9,0,19,10,0.5686,0.165,0.2664,19,6,11,2,0,3,0,2,0,2,0,0,2,1,1,1,1,1,1,5.03,p
14,10,5,2,2,11,4,32,0,16,13,12,16,1,22,11,10,0,0,8,0.4864,0.0682,0.4455,6,2,9,0,0,0,0,2,0,1,0,0,4,1,1,1,1,1,1,2.2,t
16,13,9,16,0,11,4,14,0,17,9,8,0,11,8,25,12,0,12,19,0.2313,0,0.7688,3,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1.6,a
12,3,5,14,0,16,21,18,13,15,14,5,12,8,13,4,11,11,3,10,0.6218,0.0168,0.3613,4,0,4,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,1,1.19,y
23,10,13,14,10,5,12,4,14,21,11,10,11,2,3,16,5,0,11,18,0.5,0.5,0,2,5,0,0,0,0,2,0,1,0,1,1,0,0,1,1,1,1,1,0.58,p
32,3,9,19,0,16,23,3,5,7,9,7,13,2,22,7,7,0,10,17,0.55,0,0.45,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,b
16,25,12,4,3,22,12,1,6,18,15,22,12,4,8,12,14,0,0,7,0.4231,0.0897,0.4872,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.78,c
9,4,16,29,12,5,21,9,2,9,1,1,2,1,8,5,2,4,0,9,0.7358,0.2642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,-
2,11,11,10,13,14,3,9,30,10,10,5,8,6,21,4,10,14,9,10,0.4753,0.1667,0.358,7,3,4,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1.62,v
