@relation ProteinFoldsDicots

@attribute pcvA             NUMERIC
@attribute pcvR             NUMERIC
@attribute pcvN             NUMERIC
@attribute pcvD             NUMERIC
@attribute pcvC             NUMERIC
@attribute pcvQ             NUMERIC
@attribute pcvE             NUMERIC
@attribute pcvG             NUMERIC
@attribute pcvH             NUMERIC
@attribute pcvI             NUMERIC
@attribute pcvL             NUMERIC
@attribute pcvK             NUMERIC
@attribute pcvM             NUMERIC
@attribute pcvF             NUMERIC
@attribute pcvP             NUMERIC
@attribute pcvS             NUMERIC
@attribute pcvT             NUMERIC
@attribute pcvW             NUMERIC
@attribute pcvY             NUMERIC
@attribute pcvV             NUMERIC
@attribute sscC             NUMERIC
@attribute sscE             NUMERIC
@attribute sscH             NUMERIC
@attribute dssC             NUMERIC
@attribute dssE             NUMERIC
@attribute dssH             NUMERIC
@attribute adssCCC          NUMERIC
@attribute adssCCE          NUMERIC
@attribute adssCCH          NUMERIC
@attribute adssCEC          NUMERIC
@attribute adssCEE          NUMERIC
@attribute adssCEH          NUMERIC
@attribute adssCHC          NUMERIC
@attribute adssCHE          NUMERIC
@attribute adssCHH          NUMERIC
@attribute adssECC          NUMERIC
@attribute adssECE          NUMERIC
@attribute adssECH          NUMERIC
@attribute adssEEC          NUMERIC
@attribute adssEEE          NUMERIC
@attribute adssEEH          NUMERIC
@attribute adssEHC          NUMERIC
@attribute adssEHE          NUMERIC
@attribute adssEHH          NUMERIC
@attribute adssHCC          NUMERIC
@attribute adssHCE          NUMERIC
@attribute adssHCH          NUMERIC
@attribute adssHEC          NUMERIC
@attribute adssHEE          NUMERIC
@attribute adssHEH          NUMERIC
@attribute adssHHC          NUMERIC
@attribute adssHHE          NUMERIC
@attribute adssHHH          NUMERIC
@attribute phyAthaliana     NUMERIC
@attribute phyCpapaya       NUMERIC
@attribute phyCsativus      NUMERIC
@attribute phyGmax          NUMERIC
@attribute phyLjaponicus    NUMERIC
@attribute phyMesculenta    NUMERIC
@attribute phyMtrunculata   NUMERIC
@attribute phyMguttatus     NUMERIC
@attribute phyPtrichocarpa  NUMERIC
@attribute phyPpersica      NUMERIC
@attribute phyRcommunis     NUMERIC
@attribute phySlycoparsicum NUMERIC
@attribute length           NUMERIC
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
41.0000,0.0000,1.0000,9.0000,2.0000,3.0000,10.0000,15.0000,0.0000,1.0000,3.0000,5.0000,4.0000,3.0000,17.0000,18.0000,25.0000,3.0000,1.0000,13.0000,0.6000,0.4000,0.0000,3,6,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,h
9.0000,9.0000,4.0000,2.0000,24.0000,2.0000,6.0000,6.0000,6.0000,18.0000,2.0000,7.0000,12.0000,12.0000,16.0000,3.0000,15.0000,10.0000,24.0000,10.0000,0.5057,0.1609,0.3333,3,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,u
17.0000,15.0000,11.0000,8.0000,9.0000,4.0000,2.0000,37.0000,1.0000,7.0000,5.0000,5.0000,2.0000,0.0000,26.0000,20.0000,26.0000,8.0000,0.0000,10.0000,0.5971,0.4029,0.0000,8,7,0,0,1,0,3,2,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1.39,m
11.0000,9.0000,15.0000,13.0000,11.0000,9.0000,2.0000,30.0000,0.0000,10.0000,8.0000,6.0000,7.0000,5.0000,16.0000,7.0000,22.0000,1.0000,5.0000,15.0000,0.5565,0.4435,0.0000,6,5,0,0,1,0,3,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1.24,m
1.0000,18.0000,11.0000,22.0000,0.0000,10.0000,14.0000,14.0000,12.0000,16.0000,13.0000,14.0000,4.0000,1.0000,14.0000,9.0000,16.0000,2.0000,1.0000,20.0000,0.5754,0.1080,0.3166,19,7,12,1,2,2,4,1,0,5,0,3,3,2,1,1,0,0,0,0,0,1,0,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.37,w
7.0000,18.0000,6.0000,23.0000,7.0000,2.0000,5.0000,10.0000,22.0000,16.0000,23.0000,16.0000,2.0000,7.0000,15.0000,9.0000,7.0000,0.0000,0.0000,12.0000,0.4499,0.0917,0.4585,10,3,12,0,0,2,0,0,0,5,1,2,0,0,2,0,0,0,0,1,0,1,0,4,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.49,p
6.0000,4.0000,14.0000,6.0000,4.0000,6.0000,3.0000,22.0000,16.0000,15.0000,17.0000,8.0000,13.0000,18.0000,14.0000,7.0000,15.0000,11.0000,11.0000,13.0000,0.5937,0.0889,0.3175,11,2,10,0,0,2,0,0,0,4,2,1,0,0,1,0,0,0,1,0,0,3,0,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3.15,p
10.0000,4.0000,14.0000,14.0000,12.0000,16.0000,7.0000,29.0000,3.0000,8.0000,11.0000,2.0000,13.0000,7.0000,12.0000,14.0000,7.0000,8.0000,8.0000,5.0000,0.6028,0.0944,0.3028,12,3,9,0,0,1,2,0,0,6,1,1,0,0,3,0,0,0,0,0,0,1,1,4,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.60,p
3.0000,5.0000,18.0000,15.0000,3.0000,18.0000,13.0000,13.0000,22.0000,6.0000,10.0000,10.0000,16.0000,14.0000,5.0000,9.0000,7.0000,42.0000,24.0000,8.0000,0.6145,0.0899,0.2957,10,2,8,0,0,2,0,0,0,5,2,0,1,0,1,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3.45,p
14.0000,16.0000,17.0000,16.0000,9.0000,6.0000,8.0000,7.0000,17.0000,9.0000,2.0000,9.0000,3.0000,13.0000,8.0000,7.0000,25.0000,26.0000,20.0000,16.0000,0.5769,0.4231,0.0000,6,6,0,0,1,0,3,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.30,h
