@relation ProteinFoldsDicotsFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssHCH numeric
@attribute phyCsativus numeric
@attribute phyGmax numeric
@attribute phyLjaponicus numeric
@attribute phyPpersica numeric
@attribute phyRcommunis numeric
@attribute phySlycoparsicum numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
41,0,1,9,2,3,10,15,0,1,3,5,4,3,17,18,25,3,1,13,0.6,0.4,0,3,6,0,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,1.05,h
9,9,4,2,24,2,6,6,6,18,2,7,12,12,16,3,15,10,24,10,0.5057,0.1609,0.3333,3,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.87,u
17,15,11,8,9,4,2,37,1,7,5,5,2,0,26,20,26,8,0,10,0.5971,0.4029,0,8,7,0,0,1,0,2,0,3,0,2,0,0,1,0,0,0,1,0,1.39,m
11,9,15,13,11,9,2,30,0,10,8,6,7,5,16,7,22,1,5,15,0.5565,0.4435,0,6,5,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1.24,m
1,18,11,22,0,10,14,14,12,16,13,14,4,1,14,9,16,2,1,20,0.5754,0.108,0.3166,19,7,12,1,2,2,1,3,2,1,1,0,6,0,0,0,0,1,0,5.37,w
7,18,6,23,7,2,5,10,22,16,23,16,2,7,15,9,7,0,0,12,0.4499,0.0917,0.4585,10,3,12,0,0,2,0,2,0,2,0,0,4,1,1,1,1,1,1,3.49,p
6,4,14,6,4,6,3,22,16,15,17,8,13,18,14,7,15,11,11,13,0.5937,0.0889,0.3175,11,2,10,0,0,2,0,1,0,1,0,0,3,1,1,1,1,1,1,3.15,p
10,4,14,14,12,16,7,29,3,8,11,2,13,7,12,14,7,8,8,5,0.6028,0.0944,0.3028,12,3,9,0,0,1,0,1,0,3,0,0,4,1,1,1,1,1,1,3.6,p
3,5,18,15,3,18,13,13,22,6,10,10,16,14,5,9,7,42,24,8,0.6145,0.0899,0.2957,10,2,8,0,0,2,0,0,0,1,0,0,4,1,1,1,1,1,1,3.45,p
14,16,17,16,9,6,8,7,17,9,2,9,3,13,8,7,25,26,20,16,0.5769,0.4231,0,6,6,0,0,1,0,1,0,3,0,1,0,0,1,1,1,1,1,1,1.3,h
5,3,11,27,0,4,13,10,26,17,11,15,4,20,14,7,12,23,24,11,0.6019,0.3155,0.0825,8,10,2,0,0,0,2,0,4,2,2,2,0,1,1,1,1,1,1,2.06,h
